pairing,distance_nm,theta_deg,n,Q_nm_inv,phi_deg,max_ward_residual_norm,left_ward_residual_norm,right_ward_residual_norm
normal,30.0,90.0,1,0.004166666666666667,45.0,0.0005109360508818425,0.0005109360508818425,0.0005109360508818425
normal,50.0,90.0,1,0.004166666666666667,45.0,0.0005109360508818425,0.0005109360508818425,0.0005109360508818425
normal,80.0,90.0,1,0.004166666666666667,45.0,0.0005109360508818425,0.0005109360508818425,0.0005109360508818425
normal,100.0,90.0,1,0.004166666666666667,45.0,0.0005109360508818425,0.0005109360508818425,0.0005109360508818425
normal,150.0,90.0,1,0.004166666666666667,45.0,0.0005109360508818425,0.0005109360508818425,0.0005109360508818425
normal,200.0,90.0,1,0.004166666666666667,45.0,0.0005109360508818425,0.0005109360508818425,0.0005109360508818425
normal,20.0,90.0,2,0.004166666666666667,45.0,0.0005109360508818418,0.0005109360508818418,0.0005109360508818418
normal,30.0,90.0,2,0.004166666666666667,45.0,0.0005109360508818418,0.0005109360508818418,0.0005109360508818418
normal,50.0,90.0,2,0.004166666666666667,45.0,0.0005109360508818418,0.0005109360508818418,0.0005109360508818418
normal,80.0,90.0,2,0.004166666666666667,45.0,0.0005109360508818418,0.0005109360508818418,0.0005109360508818418
normal,100.0,90.0,2,0.004166666666666667,45.0,0.0005109360508818418,0.0005109360508818418,0.0005109360508818418
normal,150.0,90.0,2,0.004166666666666667,45.0,0.0005109360508818418,0.0005109360508818418,0.0005109360508818418
normal,200.0,90.0,2,0.004166666666666667,45.0,0.0005109360508818418,0.0005109360508818418,0.0005109360508818418
normal,20.0,90.0,3,0.004166666666666667,45.0,0.0005109360508818408,0.0005109360508818408,0.0005109360508818408
normal,30.0,90.0,3,0.004166666666666667,45.0,0.0005109360508818408,0.0005109360508818408,0.0005109360508818408
normal,50.0,90.0,3,0.004166666666666667,45.0,0.0005109360508818408,0.0005109360508818408,0.0005109360508818408
normal,80.0,90.0,3,0.004166666666666667,45.0,0.0005109360508818408,0.0005109360508818408,0.0005109360508818408
normal,100.0,90.0,3,0.004166666666666667,45.0,0.0005109360508818408,0.0005109360508818408,0.0005109360508818408
normal,150.0,90.0,3,0.004166666666666667,45.0,0.0005109360508818408,0.0005109360508818408,0.0005109360508818408
normal,200.0,90.0,3,0.004166666666666667,45.0,0.0005109360508818408,0.0005109360508818408,0.0005109360508818408
normal,20.0,90.0,4,0.004166666666666667,45.0,0.0005109360508818418,0.0005109360508818418,0.0005109360508818418
normal,30.0,90.0,4,0.004166666666666667,45.0,0.0005109360508818418,0.0005109360508818418,0.0005109360508818418
normal,50.0,90.0,4,0.004166666666666667,45.0,0.0005109360508818418,0.0005109360508818418,0.0005109360508818418
normal,80.0,90.0,4,0.004166666666666667,45.0,0.0005109360508818418,0.0005109360508818418,0.0005109360508818418
normal,100.0,90.0,4,0.004166666666666667,45.0,0.0005109360508818418,0.0005109360508818418,0.0005109360508818418
normal,150.0,90.0,4,0.004166666666666667,45.0,0.0005109360508818418,0.0005109360508818418,0.0005109360508818418
normal,200.0,90.0,4,0.004166666666666667,45.0,0.0005109360508818418,0.0005109360508818418,0.0005109360508818418
